"Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mgi_symbol"
"ENSMUSG00000000094",2224.01504968471,-0.754092519855598,0.236658311754997,-3.18641891029917,0.00144045861242947,0.0143044986720692,"Tbx4"
"ENSMUSG00000000253",798.52815589557,0.908822359436482,0.192633697606087,4.71787839163486,2.38316869399197e-06,8.21917156721361e-05,"Gmpr"
"ENSMUSG00000000416",333.486956765866,-1.08274122175585,0.301711645177116,-3.58866235050437,0.00033237898410115,0.00466087170405577,"Cttnbp2"
"ENSMUSG00000001228",305.890997420778,1.17778013559366,0.31059776557015,3.79197877818491,0.000149451688035379,0.00245400221208828,"Uhrf1"
"ENSMUSG00000001672",535.001190555689,0.705734706377403,0.229155193552986,3.07972381264935,0.00207192631107853,0.0188738460941608,"Marveld3"
"ENSMUSG00000001946",6145.58628810998,-0.506166423270922,0.150740877667531,-3.35785774305563,0.000785490269148181,0.0090417420478945,"Esam"
"ENSMUSG00000002799",1242.32983377454,-0.591919191913768,0.181308720741231,-3.26470337165178,0.00109578766285748,0.0116774050279512,"Jag2"
"ENSMUSG00000002900",4048.04535649176,-0.510741116257303,0.167763461199421,-3.04441213006558,0.00233135523699326,0.0206288565175258,"Lamb1"
"ENSMUSG00000003477",40768.9541156002,-0.980091459285412,0.248008447596844,-3.95184707933264,7.75502931984991e-05,0.00142681358186528,"Inmt"
"ENSMUSG00000003812",1921.2800239946,0.637023758986009,0.152551701468621,4.17578927572328,2.96954620123196e-05,0.000650931814539987,"Dnase2a"
"ENSMUSG00000004837",2451.52863141468,-0.650114317299334,0.23518469034179,-2.76427141730413,0.00570500631197774,0.0406703662264494,"Grap"
"ENSMUSG00000005237",583.12423140898,-1.22350872200908,0.258502460937126,-4.73306411696662,2.2115559032083e-06,7.67173712831383e-05,"Dnah2"
"ENSMUSG00000007659",3963.08847671463,0.442951118725465,0.142658418301166,3.10497707741545,0.00190293771363322,0.017679050035763,"Bcl2l1"
"ENSMUSG00000008461",49.9786172065645,4.98198050991429,0.813556193151638,6.12370792804684,9.14224148958673e-10,8.08545268373599e-08,"Fut1"
"ENSMUSG00000008601",1289.07659043278,0.712575627425762,0.163865176950941,4.34854824365215,1.37041674753725e-05,0.000346287060746153,"Rab25"
"ENSMUSG00000009281",2921.08372146733,-0.746464237564174,0.261619673533532,-2.85324198857888,0.00432756536552742,0.0329127097723062,"Rarres2"
"ENSMUSG00000009376",3993.11713261241,0.422841668361081,0.132508031168719,3.19106445572863,0.00141749653154607,0.0141393498247183,"Met"
