"Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mgi_symbol"
"ENSMUSG00000000031",1790.85133598677,4.72935361613274,1.43332454386726,3.29956926808249,0.000968333270706856,0.0105805956459804,"H19"
"ENSMUSG00000000093",5745.44251359602,-0.995284493024842,0.205289254745041,-4.8482054955138,1.24583311194664e-06,4.88087906686989e-05,"Tbx2"
"ENSMUSG00000000094",2224.01504968471,-0.754092519855598,0.236658311754997,-3.18641891029917,0.00144045861242947,0.0143044986720692,"Tbx4"
"ENSMUSG00000000126",364.412786851211,-0.682334624302374,0.234605033681317,-2.90843983010716,0.00363237068596703,0.0288282107084855,"Wnt9a"
"ENSMUSG00000000142",867.380249232859,-0.641284541568171,0.173643673046844,-3.69310629241972,0.000221531372331524,0.00337972499291432,"Axin2"
"ENSMUSG00000000159",491.954549960183,0.767860821574499,0.210054344343317,3.65553411415996,0.000256647075136489,0.0037767710027293,"Igsf5"
"ENSMUSG00000000216",5300.04393183775,-0.551681091481913,0.152977279743076,-3.60629429682928,0.000310600862867126,0.00440387651993746,"Scnn1g"
"ENSMUSG00000000253",798.52815589557,0.908822359436482,0.192633697606087,4.71787839163486,2.38316869399197e-06,8.21917156721361e-05,"Gmpr"
"ENSMUSG00000000266",2445.98164115082,-0.660776276783201,0.24647558664087,-2.68089949917024,0.00734245637670534,0.0493826429958738,"Mid2"
"ENSMUSG00000000290",8251.1408453247,0.582053409929051,0.159334486052983,3.65302844567812,0.000259165508128744,0.00380497300237942,"Itgb2"
"ENSMUSG00000000308",1459.09723573989,1.15035925095831,0.233859654254398,4.91901544379656,8.69806074267872e-07,3.67774737306171e-05,"Ckmt1"
"ENSMUSG00000000318",123.299229482789,-1.14027091576056,0.382842492450623,-2.97843352879023,0.0028972586478691,0.0243002468282542,"Clec10a"
"ENSMUSG00000000325",1055.05909553478,-0.698730268841025,0.168441173151172,-4.1482154022635,3.35077057244871e-05,0.000722093079334091,NA
"ENSMUSG00000000402",5645.24271778941,1.30649582673586,0.17001643108586,7.68452683303341,1.53563489260528e-14,3.30531534414377e-12,"Egfl6"
"ENSMUSG00000000416",333.486956765866,-1.08274122175585,0.301711645177116,-3.58866235050437,0.00033237898410115,0.00466087170405577,"Cttnbp2"
"ENSMUSG00000000440",1004.07838397685,0.705554863107627,0.185789155360109,3.79761058572054,0.000146097603922426,0.00240556100836326,"Pparg"
"ENSMUSG00000000489",3242.9015718881,-0.694213633654903,0.171468564558182,-4.04863501040941,5.15172128224333e-05,0.00103063270668843,"Pdgfb"
"ENSMUSG00000000530",18219.7342156498,-1.01664139099064,0.207510295722238,-4.89923349322126,9.62112543050404e-07,3.99724199571988e-05,"Acvrl1"
"ENSMUSG00000000544",113.232916985214,6.20526824163986,1.60518100833086,3.86577476897286,0.000110737098183706,0.00191511932144425,"Gpa33"
"ENSMUSG00000000562",90.0340966484927,1.83051294516431,0.474383689114474,3.85871813717142,0.000113983303843677,0.00195423389939279,"Adora3"
"ENSMUSG00000000563",5080.20937972334,0.617761616668841,0.132912172690068,4.64789344847571,3.35342046673533e-06,0.000110283409266355,"Atp5pb"
"ENSMUSG00000000567",122.900534414,2.70327032705928,0.604354336075268,4.47298904913061,7.7133729095078e-06,0.000214975673991196,"Sox9"
"ENSMUSG00000000628",1610.7179413132,0.907659160004941,0.155531873794901,5.83584019055711,5.35201758098267e-09,4.06867208869172e-07,"Hk2"
"ENSMUSG00000000732",802.09239676859,-0.507907669951311,0.170331512746099,-2.98187729189262,0.00286486800811562,0.0240964533733453,"Icosl"
"ENSMUSG00000000782",1766.72731397301,-0.534583521091454,0.153958762366541,-3.47225135402641,0.000516112862574617,0.00654390084449648,"Tcf7"
"ENSMUSG00000000794",1686.72917884295,1.0812768413087,0.186740388434182,5.79026771002892,7.02743251499603e-09,5.29726083883561e-07,"Kcnn3"
"ENSMUSG00000000903",483.232960310102,-0.856610207591258,0.319613567344659,-2.68014344543616,0.00735906170396958,0.0494061019697168,"Vpreb3"
"ENSMUSG00000000982",136.178957772174,2.15734706483425,0.386440493312144,5.58261130023884,2.36933884713073e-08,1.56192762007345e-06,"Ccl3"
"ENSMUSG00000001029",4226.02473579229,-0.770653872600689,0.225368932982608,-3.41952132621652,0.000627314150745939,0.00762396074092654,"Icam2"
"ENSMUSG00000001036",4648.52619796621,-0.640159519510403,0.163119699617321,-3.92447706201162,8.69183402883653e-05,0.00156914319811098,"Epn2"
"ENSMUSG00000001056",933.60936798126,0.731352445469433,0.170380916210359,4.2924551747713,1.76708232236639e-05,0.00042374396898088,"Nhp2"
"ENSMUSG00000001089",3842.37188801882,-0.454498750195254,0.153582602436018,-2.95931142581463,0.00308327339793608,0.0255248745385209,"Luzp1"
"ENSMUSG00000001095",60.0423010260438,1.64415336451679,0.516844648930621,3.18113647479689,0.00146698504289325,0.0145275431215565,"Slc13a2"
"ENSMUSG00000001105",1953.63535217337,0.466620192256118,0.146930683893429,3.17578452567854,0.00149431900685169,0.0147410320582029,"Ift20"
"ENSMUSG00000001120",711.602943289961,-0.954912588763172,0.25588622340988,-3.73178585403399,0.000190127099237959,0.00299789993635141,"Pcbp3"
"ENSMUSG00000001228",305.890997420778,1.17778013559366,0.31059776557015,3.79197877818491,0.000149451688035379,0.00245400221208828,"Uhrf1"
"ENSMUSG00000001229",3138.52255485027,0.787796407216916,0.188225464824556,4.18538696637682,2.84680705422241e-05,0.000630995136770265,"Dpp9"
"ENSMUSG00000001240",9395.64494949377,-1.01095748597518,0.199654910256591,-5.06352428135092,4.11575933050003e-07,1.94518625501013e-05,"Ramp2"
"ENSMUSG00000001249",906.161107910437,1.49240637346032,0.208418768439132,7.16061410705521,8.03164440775905e-13,1.3092681390978e-10,"Hpn"
"ENSMUSG00000001281",1359.10199975827,-0.576931926457386,0.188974604384607,-3.05296009660216,0.00226596067582426,0.0201902181913219,"Itgb7"
"ENSMUSG00000001300",5454.19394572585,-1.27746847244918,0.207769125586742,-6.14850001818889,7.82191185501897e-10,7.0220329291414e-08,"Efnb2"
"ENSMUSG00000001348",1686.49550671106,1.3715020431546,0.171496470074728,7.9972610664055,1.27217318372261e-15,3.15657971211172e-13,"Acp5"
"ENSMUSG00000001403",150.473752447977,1.79321886709941,0.492375244878595,3.64197608582365,0.000270553211578537,0.00393410278095615,"Ube2c"
"ENSMUSG00000001435",2979.10277966216,0.58825637254647,0.202305203545198,2.907766890015,0.0036401957547085,0.0288774854164597,"Col18a1"
"ENSMUSG00000001496",7095.32364211596,0.543889408219339,0.177597995037508,3.06247493449727,0.00219514859044093,0.0197762630197817,"Nkx2-1"
"ENSMUSG00000001507",9645.5320845209,-0.432418681495708,0.121545192316011,-3.55767820393456,0.000374147269394674,0.00511019951661762,"Itga3"
"ENSMUSG00000001521",971.009461416442,-0.576683732330134,0.169334238711903,-3.40559438372813,0.000660201881849937,0.00792396945429462,"Tulp3"
"ENSMUSG00000001542",1543.12718019924,0.691659586051716,0.171722035763115,4.02778585158306,5.63045914786606e-05,0.00109812393751776,"Ell2"
"ENSMUSG00000001552",16528.6304798901,-0.430360963100584,0.125227677652384,-3.43662815735681,0.000589003625480394,0.00727700537289574,"Jup"
"ENSMUSG00000001672",535.001190555689,0.705734706377403,0.229155193552986,3.07972381264935,0.00207192631107853,0.0188738460941608,"Marveld3"
"ENSMUSG00000001739",475.105829157758,-0.930142866101381,0.22617875263782,-4.11242371466615,3.91526864305955e-05,0.000811441697311588,"Cldn15"
"ENSMUSG00000001864",468.426179246751,2.10247132269143,0.281805246469822,7.46072455722212,8.6047967103653e-14,1.67092057859431e-11,"Aif1l"
"ENSMUSG00000001870",2812.7774309553,-0.798535627478504,0.231871522521914,-3.44387106615491,0.000573449097136682,0.00715409784940421,"Ltbp1"
"ENSMUSG00000001930",16543.8522377483,-0.864666508902879,0.162599468706357,-5.31776958302617,1.05046977664067e-07,5.7215373657578e-06,"Vwf"
"ENSMUSG00000001946",6145.58628810998,-0.506166423270922,0.150740877667531,-3.35785774305563,0.000785490269148181,0.0090417420478945,"Esam"
"ENSMUSG00000001995",2850.97291584966,-0.68885920826671,0.170916610268574,-4.03038187560737,5.56863085622858e-05,0.00108963406622698,"Sipa1l2"
"ENSMUSG00000001999",910.121776360005,0.544068157996852,0.175827293324796,3.09433278365848,0.00197256093620225,0.0181461385814898,"Blvra"
"ENSMUSG00000002020",3195.1181244496,0.476644441627267,0.14109193379072,3.37825436806521,0.000729475697329525,0.00855453058297363,"Ltbp2"
"ENSMUSG00000002058",1652.13751900184,1.13093026530974,0.209213682757813,5.40562285602951,6.45835641361245e-08,3.7953466226706e-06,"Unc119"
"ENSMUSG00000002204",11810.6827443737,1.01085442461049,0.15509200980441,6.51777242351367,7.13591447567032e-11,7.91820572098449e-09,"Napsa"
"ENSMUSG00000002205",1626.96351151183,0.459226233617572,0.14898156700059,3.08243659174127,0.00205313466283059,0.0187385041092372,"Vrk3"
"ENSMUSG00000002500",131.327820276128,2.52703830412419,0.578042227476601,4.37171919974737,1.23272003299748e-05,0.000316871127906473,"Rpl3l"
"ENSMUSG00000002580",730.436084548977,0.541624743256597,0.183021371026874,2.95935245276393,0.00308286290024085,0.0255248745385209,"Mien1"
"ENSMUSG00000002588",1658.37106561645,-1.11354400716205,0.184266366545837,-6.04312131419304,1.51160906538919e-09,1.2859474263418e-07,"Pon1"
"ENSMUSG00000002602",7283.01615202487,0.503957332497488,0.130027551299388,3.87577346078853,0.000106286536479154,0.00185793441702552,"Axl"
"ENSMUSG00000002768",1265.75904637941,0.450866290199696,0.165116648384617,2.73059255145165,0.00632205790042161,0.044274231435136,"Mea1"
"ENSMUSG00000002799",1242.32983377454,-0.591919191913768,0.181308720741231,-3.26470337165178,0.00109578766285748,0.0116774050279512,"Jag2"
"ENSMUSG00000002885",13682.5374813047,-1.08194785694436,0.169654433174719,-6.37736271724838,1.80163421290289e-10,1.81842910810792e-08,"Adgre5"
"ENSMUSG00000002900",4048.04535649176,-0.510741116257303,0.167763461199421,-3.04441213006558,0.00233135523699326,0.0206288565175258,"Lamb1"
"ENSMUSG00000002983",876.103643355968,0.470480538159237,0.172243270376247,2.7314886505088,0.00630489125222532,0.0441886552455886,"Relb"
"ENSMUSG00000003051",1049.47183424729,0.889436591976309,0.171559805042384,5.18441130051746,2.16698243947788e-07,1.09051102200767e-05,"Elf3"
"ENSMUSG00000003228",2994.5010647837,-0.644991924926262,0.214543911561885,-3.00633991536141,0.00264413238282763,0.0226232878444519,"Grk5"
"ENSMUSG00000003271",166.197980208892,1.88387871941681,0.312889469470046,6.02090803058223,1.73441292521046e-09,1.46157013721155e-07,"Sult2b1"
"ENSMUSG00000003363",7396.99263454953,0.989862298238088,0.189974429960483,5.21050279473924,1.88329543502095e-07,9.69598643995655e-06,"Pld3"
"ENSMUSG00000003379",1026.7175887042,-0.568820412874811,0.169017145815418,-3.36545981847318,0.000764161962474084,0.00885327721115402,"Cd79a"
